image,label
1453.tif,1453.png
254_2.tif,254_2.png
195_11.tif,195_11.png
93_2.tif,93_2.png
504.tif,504.png
61.tif,61.png
657.tif,657.png
970.tif,970.png
769.tif,769.png
1348.tif,1348.png
1120.tif,1120.png
1089_5.tif,1089_5.png
456.tif,456.png
318.tif,318.png
182.tif,182.png
35.tif,35.png
391.tif,391.png
234.tif,234.png
400.tif,400.png
1407_1.tif,1407_1.png
304.tif,304.png
1004.tif,1004.png
273_13.tif,273_13.png
39.tif,39.png
1094.tif,1094.png
956.tif,956.png
545.tif,545.png
1140.tif,1140.png
218.tif,218.png
870.tif,870.png
969.tif,969.png
1332.tif,1332.png
1219_2.tif,1219_2.png
64_3.tif,64_3.png
1157.tif,1157.png
1262.tif,1262.png
852.tif,852.png
431_13.tif,431_13.png
381.tif,381.png
1413.tif,1413.png
176.tif,176.png
1149.tif,1149.png
819.tif,819.png
1311_0.tif,1311_0.png
307.tif,307.png
1224.tif,1224.png
262.tif,262.png
93_14.tif,93_14.png
64_15.tif,64_15.png
273_15.tif,273_15.png
125_2.tif,125_2.png
808.tif,808.png
1174.tif,1174.png
1025.tif,1025.png
1322_1.tif,1322_1.png
1407_2.tif,1407_2.png
1017.tif,1017.png
526.tif,526.png
891.tif,891.png
777.tif,777.png
1359_1.tif,1359_1.png
1383.tif,1383.png
1381.tif,1381.png
738_0.tif,738_0.png
227.tif,227.png
907.tif,907.png
98.tif,98.png
734.tif,734.png
1092.tif,1092.png
1403.tif,1403.png
196.tif,196.png
124.tif,124.png
244.tif,244.png
198.tif,198.png
1037.tif,1037.png
365.tif,365.png
588.tif,588.png
1027_0.tif,1027_0.png
89.tif,89.png
1252.tif,1252.png
1347.tif,1347.png
1066.tif,1066.png
928.tif,928.png
1301.tif,1301.png
67.tif,67.png
689_3.tif,689_3.png
1108.tif,1108.png
24.tif,24.png
585_15.tif,585_15.png
126.tif,126.png
265.tif,265.png
348.tif,348.png
28.tif,28.png
805_3.tif,805_3.png
1399.tif,1399.png
805_11.tif,805_11.png
1235.tif,1235.png
410.tif,410.png
1292.tif,1292.png
263_2.tif,263_2.png
844.tif,844.png
275.tif,275.png
239.tif,239.png
1197.tif,1197.png
944_2.tif,944_2.png
1497.tif,1497.png
703.tif,703.png
1173.tif,1173.png
998.tif,998.png
1357_0.tif,1357_0.png
51.tif,51.png
1236.tif,1236.png
102.tif,102.png
10_13.tif,10_13.png
1241_1.tif,1241_1.png
1420_11.tif,1420_11.png
402_14.tif,402_14.png
1367_1.tif,1367_1.png
1311_3.tif,1311_3.png
512.tif,512.png
1216.tif,1216.png
584.tif,584.png
592.tif,592.png
694_5.tif,694_5.png
195_0.tif,195_0.png
760_1.tif,760_1.png
437_2.tif,437_2.png
142.tif,142.png
1279.tif,1279.png
1260.tif,1260.png
1297.tif,1297.png
507.tif,507.png
918.tif,918.png
241.tif,241.png
341.tif,341.png
596.tif,596.png
145.tif,145.png
915.tif,915.png
1043_13.tif,1043_13.png
452_13.tif,452_13.png
334.tif,334.png
263_0.tif,263_0.png
667.tif,667.png
488.tif,488.png
914.tif,914.png
10_1.tif,10_1.png
1045.tif,1045.png
1150_9.tif,1150_9.png
113_15.tif,113_15.png
694_2.tif,694_2.png
894.tif,894.png
254_3.tif,254_3.png
93_10.tif,93_10.png
66.tif,66.png
68_2.tif,68_2.png
428.tif,428.png
1232.tif,1232.png
938.tif,938.png
885.tif,885.png
789_9.tif,789_9.png
195_1.tif,195_1.png
93_13.tif,93_13.png
88.tif,88.png
1386.tif,1386.png
929.tif,929.png
1329.tif,1329.png
429.tif,429.png
1355.tif,1355.png
1414.tif,1414.png
699_0.tif,699_0.png
944_6.tif,944_6.png
1368.tif,1368.png
1249.tif,1249.png
1194.tif,1194.png
1188.tif,1188.png
1325_3.tif,1325_3.png
573.tif,573.png
217.tif,217.png
1028.tif,1028.png
702_2.tif,702_2.png
939.tif,939.png
514.tif,514.png
1027_1.tif,1027_1.png
1200.tif,1200.png
1056.tif,1056.png
195_12.tif,195_12.png
826.tif,826.png
1083.tif,1083.png
133.tif,133.png
743.tif,743.png
1344.tif,1344.png
272.tif,272.png
960.tif,960.png
1371.tif,1371.png
537_1.tif,537_1.png
375.tif,375.png
837.tif,837.png
431_6.tif,431_6.png
1176.tif,1176.png
1330.tif,1330.png
1496_0.tif,1496_0.png
1369.tif,1369.png
426.tif,426.png
933.tif,933.png
1122.tif,1122.png
1470.tif,1470.png
402_10.tif,402_10.png
1152.tif,1152.png
1106.tif,1106.png
922.tif,922.png
338.tif,338.png
603_4.tif,603_4.png
409.tif,409.png
1230.tif,1230.png
267.tif,267.png
705.tif,705.png
1395_3.tif,1395_3.png
1141.tif,1141.png
291.tif,291.png
1205.tif,1205.png
986.tif,986.png
767_0.tif,767_0.png
1058.tif,1058.png
299.tif,299.png
1218.tif,1218.png
65_1.tif,65_1.png
1273.tif,1273.png
696.tif,696.png
43.tif,43.png
971.tif,971.png
1389_2.tif,1389_2.png
982_2.tif,982_2.png
1142_0.tif,1142_0.png
585_0.tif,585_0.png
1220.tif,1220.png
195_15.tif,195_15.png
911.tif,911.png
687.tif,687.png
815.tif,815.png
1162.tif,1162.png
1377.tif,1377.png
726.tif,726.png
229.tif,229.png
585_8.tif,585_8.png
298.tif,298.png
683.tif,683.png
1499.tif,1499.png
936.tif,936.png
1466.tif,1466.png
83.tif,83.png
1253_12.tif,1253_12.png
1242.tif,1242.png
1388.tif,1388.png
603_13.tif,603_13.png
421.tif,421.png
1408.tif,1408.png
1234.tif,1234.png
46.tif,46.png
1183.tif,1183.png
273_10.tif,273_10.png
1134.tif,1134.png
1420_2.tif,1420_2.png
452_14.tif,452_14.png
961.tif,961.png
342.tif,342.png
268.tif,268.png
414_1.tif,414_1.png
586.tif,586.png
1296.tif,1296.png
1051.tif,1051.png
427.tif,427.png
809.tif,809.png
855.tif,855.png
327_2.tif,327_2.png
1144.tif,1144.png
68_0.tif,68_0.png
113_14.tif,113_14.png
191.tif,191.png
636.tif,636.png
1195_1.tif,1195_1.png
846.tif,846.png
694_14.tif,694_14.png
789_7.tif,789_7.png
399.tif,399.png
639.tif,639.png
1366.tif,1366.png
500.tif,500.png
1364.tif,1364.png
343.tif,343.png
1306.tif,1306.png
1422.tif,1422.png
661.tif,661.png
216.tif,216.png
652.tif,652.png
232.tif,232.png
13.tif,13.png
821_2.tif,821_2.png
727.tif,727.png
1181.tif,1181.png
999.tif,999.png
706.tif,706.png
335.tif,335.png
927.tif,927.png
495.tif,495.png
579.tif,579.png
157.tif,157.png
1231.tif,1231.png
1089_4.tif,1089_4.png
10_2.tif,10_2.png
539.tif,539.png
1315.tif,1315.png
789_14.tif,789_14.png
402_4.tif,402_4.png
1426.tif,1426.png
482_2.tif,482_2.png
1166.tif,1166.png
76.tif,76.png
10_0.tif,10_0.png
319.tif,319.png
